IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
2019600;Arbre;Jardin;BOIS DE VINCENNES;;;ECOLE DU BREUIL / ROUTE DE LA FERME;50030005;Platane;Platanus;x hispanica;;535;28;Adulte;NON;48.82374974775363,2.458381164445581
113239;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE DE LA PAIX / 128 RUE DE LAGNY;000107003;Platane;Platanus;x hispanica;;145;15;Adulte;NON;48.84893862821471,2.415540498067856
100702;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00000254;Platane;Platanus;x hispanica;;270;15;;;48.8338864879921,2.384733636402175
107445;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00401007;Platane;Platanus;x hispanica;;233;10;Jeune (arbre)Adulte;NON;48.8572291680398,2.295576307933885
133205;Arbre;Jardin;PARIS 15E ARRDT;;;SQUARE DE LA PLACE DU COMMERCE;00000043;Platane;Platanus;x hispanica;;120;0;;;48.84501943213366,2.293208160393354
118715;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE ALBERT TOURNAIRE / 2 PLACE MAZAS;000101011;Platane;Platanus;x hispanica;;204;20;;NON;48.84499379940654,2.367937406188365
118811;Arbre;Jardin;PARIS 7E ARRDT;;;SQUARE BOUCICAUT;00000050;Platane;Platanus;x hispanica;;188;15;;;48.85115513582103,2.325491157717327
117661;Arbre;Jardin;PARIS 11E ARRDT;;;SQUARE PASDELOUP;00000001;Platane;Platanus;orientalis;;75;12;;;48.862969228343054,2.3669884843645
108040;Arbre;Jardin;PARIS 20E ARRDT;;;RUE ALBERT WILLEMETZ;000101007;Platane;Platanus;x hispanica;;110;14;Adulte;NON;48.847810602786716,2.415375862841485
138692;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000013;Platane;Platanus;x hispanica;;220;19;Adulte;NON;48.90015819994382,2.366988103559446
293623;Arbre;Jardin;PARIS 4E ARRDT;;;PARC DES RIVES DE SEINE / 1 W QUAI HENRI IV;000102009;Platane;Platanus;x hispanica;;245;30;Adulte;NON;48.85093256496494,2.361251167595586
106856;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00702007;Platane;Platanus;x hispanica;;158;12;Adulte;NON;48.85548229212893,2.298150447609347
110134;Arbre;Jardin;PARIS 15E ARRDT;;;PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE;000D0099;Platane;Platanus;x hispanica;;97;14;;;48.83215989608146,2.298546059699901
133506;Arbre;Jardin;PARIS 15E ARRDT;;;JARDIN D''ALLERAY;00000017;Platane;Platanus;x hispanica;;0;0;;;48.835897148705854,2.304922712879856
115424;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE GUSTAVE MESUREUR / 105 RUE JEANNE D ARC;000101007;Platane;Platanus;x hispanica;;90;10;;NON;48.833576171101356,2.362546788736425
101276;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00001070;Platane;Platanus;x hispanica;;330;32;Mature;NON;48.83712563656042,2.380463677572918
128179;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000021;Platane;Platanus;x hispanica;;125;9;Adulte;NON;48.88947197530611,2.298929141999025
